UQ subtype name,serial,name,descr
J25A42,7,,
J25A42,5,,
J25AC16,10,,
J25AC16,11,,
J25AC16,9,,
J25AC16,7,,
J25AC16,6,,
J25AC16,1,,
J25AC16,8,,
J25A43,5,,
J25A43,12,,
J25A43,15,,
J25A44,4,,
J25A44,5,,
J25A44,6,,
J25A44,7,,
J25A44,8,,
J25A46,11,,
J25A46,3,,
J25A46,7,,
J25A46,5,,
J25A46,2,,
J25A46,6,,
J25A46,13,,
J25A46,9,,
J25A46,14,,
J25A46,12,,
J25A46,1,,
J25AC17,9,,
J25AC17,13,,
J25A74,16,,
J25A74,4,,
J25A74,1,,
J25A74,6,,
J25A74,12,,
J25A84,3,,
J25A50,1,,
J25A50,3,,
J25A50,7,,
J25A50,9,,
J25A51,10,,
J25A52,1,,
J25A52,2,,
J25A52,6,,
J25A52,7,,
J25A52,8,,
J25A83,3,,
J25A83,6,,
J25A83,7,,
J25A83,9,,
J25A83,10,,
J25A54,4,,
J25A54,6,,
J25A55,6,,
J25AC18,1,,
J25AC18,3,,
J25AC18,4,,
J25AC18,5,,
J25AC18,7,,
J25AC18,16,,
J25AC18,15,,
J25AC18,20,,
J25AC18,18,,
J25AC18,10,,
J25AC18,19,,
J25AC18,12,,
J25AC18,8,,
J25AC18,9,,
J25AC18,11,,
J25AC18,6,,
J25AC18,17,,
J25AC18,14,,
J25AC18,13,,
J25AC19,1,,
J25AC19,23,,
J25AC19,2,,
J25AC19,8,,
J25AC19,6,,
J25AC19,5,,
J25AC19,3,,
J25AC19,26,,
J25AC19,7,,
J25AC19,10,,
J25AC19,11,,
J25AC19,14,,
J25AC19,30,,
J25AC19,16,,
J25AC19,17,,
J25AC19,12,,
J25AC19,28,,
J25AC19,18,,
J25AC19,15,,
J25AC19,13,,
J25AC20,2,,
J25AC20,5,,
J25AC20,1,,
J25AC20,13,,
J25AC20,7,,
J25AC20,14,,
J25AC20,11,,
J25AC20,10,,
J25AC20,6,,
J25AC20,15,,
J25AC20,3,,
J25AC20,12,,
J25A57,15,,
J25A57,11,,
J25A57,12,,
J25A57,14,,
J25A57,13,,
J25A57,10,,
J25A57,9,,
J25A58,1,,
J25A58,2,,
J25A58,3,,
J25A58,4,,
J25A58,5,,
J25A58,6,,
J25A58,7,,
J25A58,8,,
J25A58,9,,
J25A58,10,,
J25AC23,25,,
J25AC23,28,,
J25AC23,16,,
J25AC23,23,,
J25AC23,19,,
J25AC23,17,,
J25AC23,29,,
J25AC23,30,,
J25AC23,27,,
J25AC23,24,,
J25AC23,26,,
J25AC23,18,,
J25AC23,21,,
J25AC23,20,,
J25AC21,15,,
J25AC21,12,,
J25AC21,4,,
J25AC21,3,,
J25AC21,2,,
J25AC21,14,,
J25AC21,13,,
J25AC21,9,,
J25AC21,5,,
J25AC21,27,,
J25AC21,1,,
J25AC21,6,,
J25AC21,8,,
J25AC21,7,,
J25AC21,10,,
J25AC21,11,,
J25A59,13,,
J25A59,7,,
J25A59,3,,
J25A59,11,,
J25A59,10,,
J25A60,13,,
J25A60,8,,
J25A60,1,,
J25A60,10,,
J25A60,11,,
J25A60,12,,
J25A60,9,,
J25A61,11,,
J25A61,13,,
J25A61,2,,
J25A61,14,,
J25A93,12,,
J25A79,12,,
J25A79,17,,
J25AC22,11,,
J25AC22,25,,
J25AC22,6,,
J25AC22,2,,
J25AC22,15,,
J25AC22,8,,
J25AC22,1,,
J25AC22,14,,
J25AC22,5,,
J25AC22,13,,
J25AC22,7,,
J25A62,6,,
J25A62,7,,
J25A62,8,,
J25A62,11,,
J25A62,13,,
J25A62,9,,
J25A80,1,,
J25A80,2,,
J25A80,3,,
J25A85,3,,
J25A85,6,,
J25A85,9,,
J25A64,8,,
J25A64,4,,
J25A64,6,,
J25A64,3,,
J25A64,7,,
J25A64,5,,
J25A65,18,,
J25A65,6,,
J25A66,13,,
J25A66,11,,
J25A66,12,,
J25A66,6,,
J25A66,10,,
J25A66,3,,
J25A66,9,,
J25A67,4,,
J25A67,9,,
J25A67,11,,
J25A67,8,,
J25A67,3,,
J25A67,6,,
J25A67,7,,
J25A68,12,,
J25A68,16,,
J25A68,14,,
J25A68,13,,
J25A19,6,,
J25A19,2,,
J25A19,3,,
J25A19,2,,
J25A19,5,,
J25A19,7,,
J25A19,7,,
J25A19,4,,
J25A19,5,,
J25A20,1,,
J25A20,2,,
J25A18,11,,
J25A18,25,,
J25A18,21,,
J25A18,20,,
J25A18,24,,
J25A18,22,,
J25A18,27,,
J25A18,18,,
J25A18,5,,
J25A69,16,,
J25A69,17,,
J25A69,18,,
J25A69,7,,
J25A70,17,,
J25A70,18,,
J25A70,19,,
J25A70,20,,
J25A14,31,,
J25A14,19,,
J25A14,25,,
J25A14,32,,
J25A14,34,,
J25A14,29,,
J25A14,26,,
J25A14,27,,
J25A14,4,,
J25A94,8,,
J25A94,14,,
J25A94,15,,
J25A94,4,,
J25A94,10,,
J25A94,11,,
J25A94,13,,
J25A94,7,,
J25A94,2,,
J25A94,3,,
J25A94,9,,
J25A94,1,,
J25A94,12,,
4T41528,,,
J25A,44,,
J25A,45,,
J25A,39,,
J25A,7,,
J25A,10,,
J25A,40,,
J25A,6,,
J25AC,1,,
J25AC,50,,
J25AC,53,,
J25AC,31,,
J25AC,54,,
J25AC,55,,
J25AC,48,,
J25AC,40,,
J25AC,39,,
J25AC,43,,
J25AC,38,,
J25AC,41,,
J25AC,47,,
J25AC,42,,
J25AB,8,,
J25AB,6,,
J25,23,,
J25,26,,
J25,27,,
IOFA,3385,,
IOFA,359,,
IOFA,3816,,
IOFA,2902,,
J25A95,4,,
J25A95,5,,
J25A95,2,,
J25A95,1,,
J25A95,8,,
J25A95,10,,
J25A95,9,,
J25A95,3,,
J25A95,6,,
J25A95,7,,
J25A96,5,,
J25A96,6,,
J25A96,9,,
J25A96,4,,
J25A96,7,,
J25A96,1,,
J25A102,7,,
J25A102,5,,
J25A102,6,,
J25A102,3,,
J25A102,4,,
J25A102,9,,
J25A103,2,,
J25A103,1,,
J25A103,7,,
J25A103,5,,
J25A103,6,,
J25A103,3,,
J25A97,10,,
J25A97,5,,
J25A97,8,,
J25A97,7,,
J25A97,2,,
J25A97,3,,
J25A97,9,,
J25A97,4,,
J25A97,1,,
J25A104,1,,
J25A104,10,,
J25A104,5,,
J25A104,4,,
J25A104,2,,
J25A104,3,,
J25A104,6,,
J25A104,8,,
J25A104,7,,
J25A105,5,,
J25A105,10,,
J25A105,3,,
J25A105,4,,
J25A105,8,,
J25A105,9,,
J25A105,2,,
J25A105,6,,
J25A105,1,,
J25A98,1,,
J25A98,6,,
J25A98,8,,
J25A98,2,,
J25A98,3,,
J25A98,9,,
J25A98,4,,
J25A98,5,,
J25A98,10,,
J25A106,4,,
J25A107,7,,
J25A107,2,,
J25A107,8,,
J25A107,9,,
J25A107,4,,
J25A107,6,,
J25A107,10,,
J25A99,5,,
J25A99,10,,
J25A99,4,,
J25A99,3,,
J25A99,2,,
J25A99,1,,
J25A99,7,,
